texts	labels	predictions	z
"▁If ▁this ▁is ▁the ▁first ▁of ▁the ▁"" N e mes is "" ▁films ▁that ▁you ▁have ▁seen , ▁then ▁I ▁strongly ▁urge ▁you ▁to ▁proceed ▁no ▁further . ▁The ▁sequel s ▁to ▁"" N e bul a "" ▁prove ▁to ▁be ▁no ▁better ... hard ▁to ▁believe ▁considering ▁this ▁entry ▁is ▁bottom - of - the - bar re l . ▁This ▁movie ▁ tries , ▁but ▁it ' s ▁just ▁not ▁worth ▁your ▁time , ▁folks . ▁Take ▁ a ▁nap ▁instead . </s>"	0	0	[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
▁I ▁can ▁count ▁( on ▁one ▁hand ) ▁the ▁number ▁of ▁good ▁movies ▁ starring ▁Joe ▁Don ▁Baker . ▁This ▁is ▁not ▁one ▁of ▁them . <unk> b r ▁ / > <unk> b r ▁ / > In termin able ▁chase ▁scenes , ▁dim - wit ted ▁dialogue , ▁and ▁terrible ▁ lapse s ▁in ▁continuity ▁made ▁this ▁movie ▁ a ▁prime ▁choice ▁for ▁getting ▁the ▁send - up ▁on ▁M ST 3 K . <unk> b r ▁ / > <unk> b r ▁ / > And ▁that ▁is ▁the ▁only ▁way ▁I ▁was ▁ able ▁to ▁watch ▁this ... </s>	0	0	[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
▁This ▁is ▁one ▁of ▁the ▁most ▁god - a w ful ▁movies ▁ever . ▁Sha q ▁better ▁just ▁stick ▁to ▁basketball . ▁This ▁movie ▁took ▁away ▁apart ▁of ▁my ▁life ▁I ▁will ▁never ▁have ▁back . ▁I ▁will ▁make ▁fun ▁of ▁this ▁movie ▁until ▁I ▁die , ▁and ▁then ▁some . ▁It ▁is ▁so ▁horrible ▁it ▁is ▁not ▁even ▁funny . ▁M ST 3 000 ▁would ▁have ▁ a ▁blast ▁with ▁this ▁one . </s>	0	0	[0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]
"▁The ▁film ▁attempts ▁to ▁be ▁ a ▁mock u ment ary - - shot ▁in ▁the ▁documentary ▁form ▁but ▁with ▁many ▁obviously ▁script e d ▁parts - - but ▁fails ▁in ▁not ▁providing ▁the ▁audience ▁with ▁any ▁characters ▁with ▁which ▁to ▁create ▁the ▁illusion ▁of ▁the ▁mock u ment ary . ▁Also , ▁the ▁film ▁pur port s ▁to ▁be ▁about ▁finding ▁real ▁love ▁in ▁Los ▁Angeles , ▁but ▁is ▁nothing ▁more ▁than ▁an ▁un interest ing ▁look ▁at ▁an ▁amateur ▁filmmaker ▁trying ▁to ▁make ▁his ▁first ▁"" big ▁movie ."" </s>"	0	0	[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]
▁Sean , ▁you ▁know ▁I ▁think ▁that ▁you ▁are ▁absolutely ▁the ▁greatest ▁actor ▁in ▁the ▁world , ▁but ▁I ▁can ' t ▁comme nd ▁you ▁for ▁this . ▁Comedy ▁just ▁is n ' t ▁your ▁strong ▁suit . <unk> b r ▁ / > <unk> b r ▁ / > How ever , ▁it ▁wasn ' t ▁all ▁your ▁fault . ▁Some ▁of ▁the ▁stuff ▁was ▁just ▁too ▁hard ▁to ▁understand . ▁Alfred ▁Lynch ▁did ▁ a ▁decent ▁job , ▁but ▁you ▁ gotta ▁wonder ▁where ▁the ▁lines ▁came ▁from ▁from ▁the ▁beginning . <unk> b r ▁ / > <unk> b r ▁ / > O nce ▁again , ▁Sean ... ▁I ▁apologize . </s>	0	0	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
▁Hi ▁folks <unk> b r ▁ / > <unk> b r ▁ / > For get ▁about ▁that ▁movie . ▁John ▁C . ▁should ▁be ▁ashamed ▁that ▁ he ▁appears ▁as ▁executive ▁producer ▁in ▁the ▁credits . ▁bon ▁ j ovi ▁has ▁never ▁been ▁and ▁will ▁never ▁be ▁an ▁actor ▁and ▁the ▁F X ▁are ▁ a ▁joke . <unk> b r ▁ / > <unk> b r ▁ / > The ▁first ▁vampire s ▁was ▁good ▁ ... ▁and ▁it ▁was ▁the ▁only ▁vampire s . ▁This ▁thing ▁here ▁just ▁wear s ▁the ▁same ▁name . <unk> b r ▁ / > <unk> b r ▁ / > Just ▁ a ▁waste ▁of ▁time ▁think s ▁ ... <unk> b r ▁ / > <unk> b r ▁ / > J AKE ▁Scorpio </s>	0	0	[0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
▁Man , ▁even ▁Plan ▁9 ▁From ▁Out er ▁Space ▁is ▁better ▁than ▁this ▁movie . ▁This ▁flick ▁doesn ' t ▁have ▁enough ▁plot ▁for ▁half ▁an ▁hour , ▁yet ▁they ▁managed ▁to ▁extend ▁it ▁for ▁an ▁eternity ▁of ▁more ▁than ▁an ▁hour . ▁Jet ▁Li ▁and ▁ Corey ▁Yu en ▁are ▁pretty ▁good , ▁specially ▁in ▁those ▁ex a gger ated ▁fight ▁scenes , ▁but ▁stuff ▁like ▁The ▁Legend ▁of ▁F ong ▁Sa i ▁Yu k ▁is ▁much ▁better ▁than ▁this ▁sorry ▁thing ▁that ▁would ▁be ▁better ▁left ▁un made . </s>	0	0	[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]
▁Ah ▁yes , ▁the ▁ VS ▁series , ▁M VC 2 ▁being ▁the ▁pin nac le . ▁It ' s ▁been ▁said ▁before , ▁this ▁is ▁what ▁you ▁get ▁when ▁half ▁of ▁the ▁crew ▁fell ▁asleep ▁on ▁the ▁job , ▁unfortunately ▁the ▁gameplay ▁half ▁did . ▁Don ' t ▁get ▁me ▁wrong , ▁this ▁is ▁fun , ▁but ▁you ▁get ▁tired ▁of ▁ma shing ▁buttons . ▁As ▁for ▁the ▁plot ▁summary , ▁A HA HA HA HA HA AA AA ... ▁There ▁is ▁no ▁plot . ▁Beat ▁that ▁guy ▁at ▁the ▁end ▁and ▁win ! ▁E h , ▁who ▁plays ▁this ▁by ▁their ▁self ▁anyway ? </s>	0	0	[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
▁Wow , ▁what ▁ a ▁ s n ooze r . ▁ Def inate ly ▁one ▁of ▁bacon ' s ▁worst ▁films . ▁The ▁bad ▁acting ▁coupled ▁with ▁ a ▁formula tic , ▁ if ▁not ▁in cred ul ous , ▁script ▁make ▁me ▁year n ▁for ▁time ▁I ▁wasted ▁on ▁viewing ▁this ▁on ▁cable ▁television ▁back . ▁Not ▁really ▁much ▁I ▁can ▁say ▁about ▁it , ▁ a ▁basketball ▁ s cou t ▁gets ▁too ▁attached ▁to ▁the ▁person ▁ he ' s ▁recruiting , ▁who ▁happens ▁to ▁belong ▁to ▁ a ▁tribe ▁that ▁happens ▁to ▁be ▁on ▁the ▁ver ge ▁of ▁war ▁which ▁happens ▁to ▁be ▁decided ▁by ▁( spo il er ) ▁ a ▁basketball ▁game . ▁Grade : ▁F + </s>	0	0	[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
▁A ▁decent ▁sequel , ▁but ▁does ▁not ▁pack ▁the ▁punch ▁of ▁the ▁original . ▁A ▁murder ous ▁screen writer ( J u d d ▁Nelson ) a s sum e s ▁new ▁identities ▁in ▁order ▁to ▁direct ▁his ▁own ▁novel ▁CA B IN ▁B Y ▁THE ▁L AKE . ▁Still ▁ rut h less ▁killing , ▁but ▁movie ▁seems ▁very ▁tongue - in - ch eek . ▁Any ▁humor ▁is ▁not ▁of ▁the ▁funny ▁kind . ▁Total ▁project ▁seems ▁to ▁have ▁the ▁quality ▁of ▁ a ▁quick i e ▁and ▁at ▁times ▁Nelson ▁is ▁way ▁over ▁the ▁top . ▁This ▁movie ▁is ▁about ▁ a ▁script ▁being ▁ re written ▁before ▁going ▁to ▁the ▁screen ... this ▁should ▁have ▁happened ▁to ▁this ▁script . </s>	0	0	[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
