orig_texts	orig_labels	orig_predictions	orig_z	edits_texts	edits_labels	edits_predictions	edits_z_pre	edits_z_pos
▁A ▁dog ▁standing ▁near ▁snow ▁looking ▁at ▁water . </s> ▁A ▁cat ▁is ▁ laying ▁on ▁the ▁couch . </s>	2	2	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]	▁A ▁dog ▁standing ▁near ▁snow ▁looking ▁at ▁water . </s> ▁A ▁dog ▁is ▁ observing ▁the ▁water . </s>	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]
▁A ▁person ▁in ▁ a ▁red ▁shirt ▁is ▁ m owing ▁the ▁grass ▁with ▁ a ▁green ▁riding ▁mower . </s> ▁A ▁person ▁in ▁red ▁is ▁swimming ▁in ▁the ▁Olympics . </s>	2	2	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]	▁A ▁person ▁in ▁ a ▁red ▁shirt ▁is ▁ m owing ▁the ▁grass ▁with ▁ a ▁green ▁riding ▁mower . </s> ▁A ▁person ▁in ▁red ▁is ▁mo pping ▁the ▁grass . </s>	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]
▁A ▁large ▁group ▁of ▁people ▁walking ▁in ▁ a ▁busy ▁city ▁at ▁night . </s> ▁People ▁are ▁outside ▁in ▁ a ▁park . </s>	2	2	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]	▁A ▁large ▁group ▁of ▁people ▁walking ▁in ▁ a ▁busy ▁city ▁at ▁night . </s> ▁People ▁walking ▁in ▁ a ▁city . </s>	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
▁Two ▁little ▁boys ▁are ▁smiling ▁and ▁laughing ▁while ▁one ▁is ▁standing ▁and ▁one ▁is ▁in ▁ a ▁ bou ncy ▁seat . </s> ▁The ▁little ▁boys ▁are ▁crying . </s>	2	2	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]	▁Two ▁little ▁boys ▁are ▁smiling ▁and ▁laughing ▁while ▁one ▁is ▁standing ▁and ▁one ▁is ▁in ▁ a ▁ bou ncy ▁seat . </s> ▁The ▁boys ▁are ▁happy . </s>	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]
▁Island ▁native ▁fishermen ▁reel ing ▁in ▁their ▁net s ▁after ▁ a ▁long ▁day ' s ▁work . </s> ▁The ▁men ▁are ▁finishing ▁their ▁day ▁of ▁work . </s>	0	0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]	▁Island ▁native ▁fishermen ▁reel ing ▁in ▁their ▁net s ▁after ▁ a ▁long ▁day ' s ▁work . </s> ▁The ▁native ▁fishermen ▁are ▁enjoying ▁their ▁day ▁of ▁fishing . </s>	2	1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]
▁People ▁are ▁on ▁an ▁ esc al ator ▁waiting ▁to ▁get ▁to ▁their ▁destination ▁while ▁looking ▁outside ▁of ▁the ▁glass ▁that ▁makes ▁up ▁the ▁wall . </s> ▁People ▁are ▁taking ▁the ▁elevator . </s>	2	2	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]	▁People ▁are ▁on ▁an ▁ esc al ator ▁waiting ▁to ▁get ▁to ▁their ▁destination ▁while ▁looking ▁outside ▁of ▁the ▁glass ▁that ▁makes ▁up ▁the ▁wall . </s> ▁People ▁are ▁looking ▁at ▁the ▁wall . </s>	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]
▁A ▁boy ▁is ▁riding ▁down ▁the ▁road ▁between ▁two ▁cow s . </s> ▁A ▁boy , ▁ a ▁road ▁and ▁two ▁cow s . </s>	0	0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]	▁A ▁boy ▁is ▁riding ▁down ▁the ▁road ▁between ▁two ▁cow s . </s> ▁A ▁boy ▁rides ▁ a ▁horse ▁between ▁two ▁cow s . </s>	2	1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]
▁A ▁boy ▁is ▁riding ▁down ▁the ▁road ▁between ▁two ▁cow s . </s> ▁A ▁single ▁cow ▁is ▁alone . </s>	2	2	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]	▁A ▁boy ▁is ▁riding ▁down ▁the ▁road ▁between ▁two ▁cow s . </s> ▁A ▁boy ▁is ▁riding ▁outside . </s>	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]
▁A ▁man ▁wearing ▁ a ▁red ▁vest ▁is ▁walking ▁past ▁ a ▁black ▁and ▁green ▁fence . </s> ▁A ▁man ▁is ▁wearing ▁ a ▁vest . </s>	0	0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]	▁A ▁man ▁wearing ▁ a ▁red ▁vest ▁is ▁walking ▁past ▁ a ▁black ▁and ▁green ▁fence . </s> ▁A ▁man ▁is ▁sitting ▁on ▁ a ▁bench . </s>	2	2	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]
▁ Several ▁men ▁at ▁ a ▁bar ▁watch ▁ a ▁sports ▁game ▁on ▁the ▁television . </s> ▁Some ▁men ▁are ▁watching ▁TV ▁at ▁ a ▁bar . </s>	0	0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]	▁ Several ▁men ▁at ▁ a ▁bar ▁watch ▁ a ▁sports ▁game ▁on ▁the ▁television . </s> ▁Men ▁are ▁watching ▁television ▁at ▁ a ▁bar . </s>	2	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
▁A ▁man ▁holding ▁ a ▁baby ▁who ▁is ▁pe tting ▁ a ▁pony . </s> ▁A ▁man ▁with ▁ a ▁baby ▁is ▁pe tting ▁ a ▁pony . </s>	0	0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]	▁A ▁man ▁holding ▁ a ▁baby ▁who ▁is ▁pe tting ▁ a ▁pony . </s> ▁A ▁woman ▁holding ▁ a ▁baby ▁who ▁is ▁pe tting ▁ a ▁pony . </s>	2	2	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]
▁Two ▁ formally ▁dressed , ▁ bald ▁older ▁women </s> ▁Two ▁long - hair e d ▁young ▁women . </s>	2	2	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]	▁Two ▁ formally ▁dressed , ▁ bald ▁older ▁women </s> ▁Two ▁well - dress e d ▁women . </s>	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]
▁One ▁young ▁boy ▁in ▁ a ▁yellow ▁long - s le e ve d ▁shirt ▁and ▁jeans ▁sitting ▁down , ▁with ▁five ▁adults ▁in ▁front ▁of ▁him , ▁one ▁operating ▁ a ▁video ▁camera . </s> ▁An ▁adult ▁using ▁ a ▁video ▁camera . </s>	0	0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]	▁One ▁young ▁boy ▁in ▁ a ▁yellow ▁long - s le e ve d ▁shirt ▁and ▁jeans ▁sitting ▁down , ▁with ▁five ▁adults ▁in ▁front ▁of ▁him , ▁one ▁operating ▁ a ▁video ▁camera . </s> ▁An ▁old ▁man ▁operating ▁ a ▁video ▁camera . </s>	2	2	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]
